Subject,Session,Block,Index,Reward,Correct_Side,Choice,Response_Latency,Date,Side,Chosen_Higher_Probability,Trial,log_Response_Latency,Task_Type,NewRunIndex,BlockGlobalIndex
F4,1,S,4,0,0,1,153,25-Apr-2025,1,1,43,5.03043792139244,0,2,3
F4,1,S,4,1,1,1,165,25-Apr-2025,1,1,44,5.10594547390058,0,2,3
F4,1,S,4,1,1,1,33,25-Apr-2025,1,1,45,3.49650756146648,0,2,3
F4,1,S,4,0,0,1,58,25-Apr-2025,1,1,46,4.06044301054642,0,2,3
F4,1,S,4,1,1,1,51,25-Apr-2025,1,1,47,3.93182563272433,0,2,3
F4,1,S,4,1,1,1,43,25-Apr-2025,1,1,48,3.76120011569356,0,2,3
F4,1,S,4,1,1,1,37,25-Apr-2025,1,1,49,3.61091791264422,0,2,3
F4,1,S,4,0,0,1,79,25-Apr-2025,0,0,50,4.36944785246702,0,2,3
F4,1,S,4,1,1,1,148,25-Apr-2025,0,0,51,4.99721227376411,0,2,3
F4,1,S,4,0,0,1,998,25-Apr-2025,0,0,52,6.90575327631146,0,2,3
F4,1,S,4,0,0,1,300,25-Apr-2025,0,0,53,5.7037824746562,0,2,3
F4,1,S,4,0,0,1,1683,25-Apr-2025,0,0,54,7.42833319419081,0,2,3
F4,1,S,4,0,0,1,35,25-Apr-2025,0,0,55,3.55534806148941,0,2,3
F4,1,S,4,0,0,1,178,25-Apr-2025,0,0,56,5.18178355029209,0,2,3
F4,1,S,4,1,0,0,32,25-Apr-2025,0,1,57,3.46573590279973,0,2,3
F4,1,S,4,0,1,0,85,25-Apr-2025,0,1,58,4.44265125649032,0,2,3
F4,1,S,4,0,0,1,85,25-Apr-2025,0,0,59,4.44265125649032,0,2,3
F4,1,S,4,0,0,1,306,25-Apr-2025,0,0,60,5.72358510195238,0,2,3
F4,1,S,4,0,0,1,13,25-Apr-2025,0,0,61,2.56494935746154,0,2,3
F4,1,S,4,0,0,1,271,25-Apr-2025,0,0,62,5.6021188208797,0,2,3
F4,1,S,4,1,0,0,108,25-Apr-2025,0,1,63,4.68213122712422,0,2,3
F4,1,S,4,0,1,0,64,25-Apr-2025,0,1,64,4.15888308335967,0,2,3
F4,1,S,4,1,0,0,202,25-Apr-2025,0,1,65,5.30826769740121,0,2,3
F4,1,S,4,1,0,0,45,25-Apr-2025,0,1,66,3.80666248977032,0,2,3
F4,1,S,4,0,0,1,87,25-Apr-2025,0,0,67,4.46590811865458,0,2,3
